staker,lp,stt,ste,faction
terra17snxw0q6f8r96gfrwply565vl09z4826lkkgqy,1212.187203,9600,11115.23400375,degens
terra17snrg3dm2q40c435udhgdf4ggmnrvvrxgc97lp,5.532574,0,6.9157175,degens
terra17s0m7hdq05cs0gx0ll6ezfrekghag0n7xwhrmk,170.147361,0,212.68420125,degens
terra1707czcmd7k0r2a437z9z6zme5v0wxawk84q5gj,0.446075,140.556156,141.11374974999998,degens
terra17029fuxtnksdk90zzkgkdvuqxs2hdwlq07dum3,37.527062,16.305561,63.2143885,degens
terra1708q4fg572d7np4qlkzphnje5q4m0hxh28yt75,5.506321,313.662094,320.54499525,degens
terra170xhq93tpslmtzcac2kynrgrqy3y90ezrr7mjg,3.01225,72,75.7653125,degens
terra17w7xx4lg2s4h2f6ufkkgndslwdu765wjsw0vul,42.963774,0,53.7047175,degens
terra17wvtgtnt4jw7ajmn307gj84fudu94eydl8uyfw,1,1,2.25,degens
terra17wx287juup445gz7r0zqpdcpe22hcua86yyv4k,611.83832,10,774.7978999999999,degens
terra17d7qrjvsts7a7tuzc96umn6rswnkkhyu4klne3,3.38,0,4.225,degens
terra17dac83g82gr2x8w7k2nj6hscvnzd66edtvhk7u,1339.491447,1264.100883,2938.4651917500005,degens
terra17dusl2rwdzz2ldvhwc40m09wzm9xpcwr9jdgcp,2.167843,0.1,2.80980375,degens
terra17ds8z2k7k55hksuadxh2qzt5ed3wf0t2zggk0s,252.428129,0,315.53516125,degens
terra17vuwy9pck4nu8rq4mm0qr4sscm3wp44gxk5y2q,20.105349,23,48.13168625,degens
terra17v6pp3ga5gq5gk5fruf6k3q0ad07kndzkldehh,0.198981,0,0.24872624999999998,degens
terra17vhzvnglufwr85e804xuz5796cd9mqtewsytzq,1.834085,0,2.29260625,degens
terra17v32x29qyfk7fw7tv7ehs6txnntdatnm9chse2,0.212972,0.01,0.276215,degens
terra17v8echf2uwmsd3znqc9m68epx7f873pgmuxx9t,8.204099,0,10.25512375,degens
terra17vx0ad0w0u7englkyjepya777nvdr6tmhjfmxe,504.386352,633.98417,1264.46711,degens
